hour,day,st,cj
0,0,9.796809122,8.069054834
4,0.166666667,9.099611499,7.858710375
8,0.333333333,9.410170453,9.067957901
12,0.5,12.20035157,12.49490913
16,0.666666667,14.24823802,11.89616253
20,0.833333333,9.338506062,9.821570776
24,1,8.874194445,5.515708287
28,1.166666667,9.381449817,8.183767218
32,1.333333333,8.316217822,9.460874564
36,1.5,10.56087831,12.21090027
40,1.666666667,7.830681121,10.4445817
44,1.833333333,6.978467676,8.082924529
48,2,10.08767903,11.22156473
52,2.166666667,10.738491,8.714121005
56,2.333333333,8.485399851,8.863068004
60,2.5,7.507166904,10.47981803
64,2.666666667,10.42911159,12.25325247
68,2.833333333,8.95128598,8.844488666
